SCCO,26-Oct-2020,Sep 2020,0.57,0.65,0.08,14
VLO,22-Oct-2020,Sep 2020,-1.35,-1.16,0.19,14
TXN,20-Oct-2020,Sep 2020,1.27,1.45,0.18,14.1
ARES,28-Oct-2020,Sep 2020,0.42,0.48,0.06,14.2
AVTR,27-Oct-2020,Sep 2020,0.21,0.24,0.03,14.2
DD,29-Oct-2020,Sep 2020,0.77,0.88,0.11,14.2
EXPD,03-Nov-2020,Sep 2020,0.98,1.12,0.14,14.2
FLIR,30-Oct-2020,Sep 2020,0.56,0.64,0.08,14.2
LEG,02-Nov-2020,Sep 2020,0.7,0.8,0.1,14.2
AMG,26-Oct-2020,Sep 2020,2.86,3.27,0.41,14.3
CPRT,18-Nov-2020,Oct 2020,0.69,0.79,0.1,14.4
CNA,02-Nov-2020,Sep 2020,0.62,0.71,0.09,14.5
CDNS,19-Oct-2020,Sep 2020,0.61,0.7,0.09,14.7
VEEV,01-Dec-2020,Oct 2020,0.68,0.78,0.1,14.7
DGX,22-Oct-2020,Sep 2020,3.75,4.31,0.56,14.9
GIS,23-Sep-2020,Aug 2020,0.87,1,0.13,14.9
MCD,09-Nov-2020,Sep 2020,1.93,2.22,0.29,15
PRAH,04-Nov-2020,Sep 2020,1.13,1.3,0.17,15
LPLA,29-Oct-2020,Sep 2020,1.25,1.44,0.19,15.2
CE,25-Oct-2020,Sep 2020,1.69,1.95,0.26,15.3
GILD,28-Oct-2020,Sep 2020,1.83,2.11,0.28,15.3
ITT,30-Oct-2020,Sep 2020,0.71,0.82,0.11,15.4
LYB,30-Oct-2020,Sep 2020,1.1,1.27,0.17,15.4
PKG,26-Oct-2020,Sep 2020,1.36,1.57,0.21,15.4
BLL,05-Nov-2020,Sep 2020,0.77,0.89,0.12,15.5
SYNH,29-Oct-2020,Sep 2020,0.9,1.04,0.14,15.5
PCAR,20-Oct-2020,Sep 2020,0.96,1.11,0.15,15.6
REGN,05-Nov-2020,Sep 2020,7.23,8.36,1.13,15.6
EMR,03-Nov-2020,Sep 2020,0.95,1.1,0.15,15.7
LEA,30-Oct-2020,Sep 2020,3.22,3.73,0.51,15.8
EIX,27-Oct-2020,Sep 2020,1.44,1.67,0.23,15.9
VNT,29-Oct-2020,Sep 2020,0.69,0.8,0.11,15.9
ZBRA,03-Nov-2020,Sep 2020,2.82,3.27,0.45,15.9
ABMD,29-Oct-2020,Sep 2020,0.87,1.01,0.14,16
ACGL,29-Oct-2020,Sep 2020,0.25,0.29,0.04,16
DG,03-Dec-2020,Oct 2020,1.99,2.31,0.32,16
FLO,05-Nov-2020,Sep 2020,0.25,0.29,0.04,16
VMW,24-Nov-2020,Oct 2020,1.43,1.66,0.23,16
EFX,21-Oct-2020,Sep 2020,1.61,1.87,0.26,16.1
VRM,11-Nov-2020,Sep 2020,-0.37,-0.31,0.06,16.2
THS,05-Nov-2020,Sep 2020,0.61,0.71,0.1,16.3
VMI,21-Oct-2020,Sep 2020,1.71,1.99,0.28,16.3
SAM,22-Oct-2020,Sep 2020,5.24,6.1,0.86,16.4
AMGN,28-Oct-2020,Sep 2020,3.75,4.37,0.62,16.5
CACI,28-Oct-2020,Sep 2020,3.15,3.67,0.52,16.5
CAT,27-Oct-2020,Sep 2020,1.15,1.34,0.19,16.5
FRC,13-Oct-2020,Sep 2020,1.38,1.61,0.23,16.6
