LH,27-Oct-2020,Sep 2020,5.29,8.41,3.12,58.9
UTHR,28-Oct-2020,Sep 2020,2.41,3.84,1.43,59.3
EL,02-Nov-2020,Sep 2020,0.9,1.44,0.54,60
NET,05-Nov-2020,Sep 2020,-0.05,-0.02,0.03,60
WWE,29-Oct-2020,Sep 2020,0.35,0.56,0.21,60
TDOC,28-Oct-2020,Sep 2020,-0.33,-0.13,0.2,60.6
FHB,23-Oct-2020,Sep 2020,0.31,0.5,0.19,61.2
ROST,19-Nov-2020,Oct 2020,0.63,1.02,0.39,61.9
BIO,29-Oct-2020,Sep 2020,1.85,3,1.15,62.1
PNC,14-Oct-2020,Sep 2020,2.09,3.39,1.3,62.2
CMA,20-Oct-2020,Sep 2020,0.87,1.44,0.57,65.5
CBRE,29-Oct-2020,Sep 2020,0.44,0.73,0.29,65.9
DE,25-Nov-2020,Oct 2020,1.44,2.39,0.95,65.9
HIG,29-Oct-2020,Sep 2020,0.88,1.46,0.58,65.9
ALL,04-Nov-2020,Sep 2020,1.77,2.94,1.17,66.1
CVNA,29-Oct-2020,Sep 2020,-0.3,-0.1,0.2,66.6
NCNO,09-Dec-2020,Oct 2020,-0.09,-0.03,0.06,66.6
PTON,05-Nov-2020,Sep 2020,0.12,0.2,0.08,66.6
FANG,02-Nov-2020,Sep 2020,0.37,0.62,0.25,67.5
UMPQ,21-Oct-2020,Sep 2020,0.34,0.57,0.23,67.6
NXST,05-Nov-2020,Sep 2020,2.43,4.08,1.65,67.9
UI,06-Nov-2020,Sep 2020,1.47,2.47,1,68
DXC,05-Nov-2020,Sep 2020,0.38,0.64,0.26,68.4
WSM,19-Nov-2020,Oct 2020,1.52,2.56,1.04,68.4
WHR,21-Oct-2020,Sep 2020,4.1,6.91,2.81,68.5
AMZN,29-Oct-2020,Sep 2020,7.3,12.37,5.07,69.4
HOLX,04-Nov-2020,Sep 2020,1.22,2.07,0.85,69.6
SYY,03-Nov-2020,Sep 2020,0.2,0.34,0.14,70
ZEN,29-Oct-2020,Sep 2020,0.1,0.17,0.07,70
DIS,12-Nov-2020,Sep 2020,-0.68,-0.2,0.48,70.5
ZBH,06-Nov-2020,Sep 2020,1.05,1.81,0.76,72.3
TJX,18-Nov-2020,Oct 2020,0.41,0.71,0.3,73.1
TGT,18-Nov-2020,Oct 2020,1.61,2.79,1.18,73.2
GS,14-Oct-2020,Sep 2020,5.58,9.68,4.1,73.4
ALLY,16-Oct-2020,Sep 2020,0.72,1.25,0.53,73.6
KMX,24-Sep-2020,Aug 2020,1.03,1.79,0.76,73.7
HZNP,02-Nov-2020,Sep 2020,1,1.74,0.74,74
EXPE,04-Nov-2020,Sep 2020,-0.92,-0.22,0.7,76
VICI,28-Oct-2020,Sep 2020,0.42,0.74,0.32,76.1
AMED,28-Oct-2020,Sep 2020,1.27,2.24,0.97,76.3
RGA,05-Nov-2020,Sep 2020,1.98,3.51,1.53,77.2
TRGP,05-Nov-2020,Sep 2020,0.09,0.16,0.07,77.7
IT,03-Nov-2020,Sep 2020,0.51,0.91,0.4,78.4
AXTA,21-Oct-2020,Sep 2020,0.33,0.59,0.26,78.7
DT,28-Oct-2020,Sep 2020,0.1,0.18,0.08,80
BPOP,28-Oct-2020,Sep 2020,1.11,2,0.89,80.1
PAG,22-Oct-2020,Sep 2020,1.59,2.87,1.28,80.5
DOCU,03-Dec-2020,Oct 2020,0.12,0.22,0.1,83.3
SCI,28-Oct-2020,Sep 2020,0.43,0.79,0.36,83.7
ESTC,02-Dec-2020,Oct 2020,-0.2,-0.03,0.17,85
SNV,20-Oct-2020,Sep 2020,0.48,0.89,0.41,85.4
LFUS,28-Oct-2020,Sep 2020,1.15,2.16,1.01,87.8
FDX,15-Sep-2020,Aug 2020,2.59,4.87,2.28,88
NOV,26-Oct-2020,Sep 2020,-0.09,-0.01,0.08,88.8
